net,length_um
net387,2.80667mm
net129,2.40371mm
_07778_,2.277mm
_07275_,2.02101mm
net584,2.009325mm
_08345_,1.92562mm
_07280_,1.87145mm
_07772_,1.80887mm
net727,1.714735mm
net691,1.6687mm
net593,1.65038mm
net729,1.50905mm
net677,1.432105mm
net669,1.429965mm
net687,1.40858mm
net713,1.39743mm
net726,1.391935mm
net540,1.38199mm
net717,1.37452mm
net675,1.374205mm
net678,1.36526mm
_11018_,1.362725mm
net724,1.32471mm
net718,1.32457mm
net728,1.31947mm
net723,1.31867mm
net681,1.316445mm
net722,1.31386mm
net720,1.31347mm
net686,1.300625mm
net725,1.298435mm
net719,1.28936mm
_11013_,1.282865mm
net570,1.28231mm
net671,1.27911mm
net683,1.27873mm
net679,1.27459mm
net712,1.25805mm
net645,1.244915mm
net688,1.23383mm
net684,1.22684mm
_07279_,1.22472mm
net648,1.224005mm
net674,1.219915mm
net660,1.21554mm
net594,1.181255mm
net662,1.173455mm
net654,1.1727mm
net666,1.16343mm
_07025_,1.16261mm
net689,1.145825mm
net665,1.14218mm
_05436_,1.126545mm
net714,1.124775mm
net567,1.10805mm
net656,1.10757mm
_10999_,1.10563mm
net647,1.09848mm
net585,1.089885mm
net583,1.08861mm
net721,1.07271mm
net577,1.068945mm
net673,1.06264mm
net711,1.06135mm
net716,1.05777mm
net582,1.051545mm
_07284_,1.04674mm
net564,1.043035mm
net661,1.039405mm
net572,1.039145mm
net571,1.03698mm
net690,1.03521mm
net668,1.03189mm
_07281_,1.02833mm
net676,1.02723mm
net595,1.01968mm
net680,1.0137mm
net652,1.00417mm
_05783_,1.002125mm
net650,996.07µm
net541,991.06µm
net542,989.46µm
net589,982.69µm
net599,980.38µm
net574,977.29µm
net672,974.29µm
net539,966.68µm
net646,965.78µm
net596,965.625µm
net562,950.85µm
net715,948.28µm
net586,946.88µm
net598,938.79µm
net710,938.73µm
net580,937.505µm
net667,937.08µm
net573,935.85µm
net659,922.51µm
net655,912.01µm
net543,909.48µm
_10884_,903.71µm
net578,900.475µm
_08356_,894.32µm
net649,883.815µm
net663,883.17µm
net682,880.365µm
net651,872.285µm
net563,869.13µm
_08336_,859.67µm
net591,852.49µm
net566,848.32µm
net670,836.4µm
_05669_,832.67µm
net692,824.05µm
clknet_0_clk,822.68µm
_10970_,822.495µm
_07372_,814.4µm
net587,811µm
enc_block.block_w0_reg\[26\],799.51µm
net568,795.4µm
enc_block.block_w0_reg\[28\],795.06µm
_07274_,789.815µm
net544,780.81µm
net569,778.065µm
_11028_,777.78µm
net590,775.88µm
_07834_,773.21µm
_05733_,768.27µm
net579,765.41µm
_11017_,762.595µm
_11011_,749.965µm
clk,748.77µm
net575,744.29µm
_06643_,744.1µm
_10716_,740.82µm
net600,735.55µm
enc_block.block_w0_reg\[0\],728.7µm
_10916_,726.575µm
_05702_,724.425µm
_05754_,724.32µm
net581,721.41µm
_05292_,717.86µm
_10942_,717.12µm
_05387_,716.31µm
enc_block.block_w0_reg\[21\],715.03µm
enc_block.block_w0_reg\[19\],712.35µm
_05418_,711.71µm
net685,709.05µm
enc_block.block_w0_reg\[6\],707.99µm
_07860_,705.57µm
_05743_,703.46µm
_08341_,701.62µm
net592,699.19µm
net664,692.92µm
net565,692.74µm
enc_block.block_w0_reg\[1\],687.14µm
_05713_,686.87µm
net597,682.95µm
_08355_,681.57µm
_06654_,681.56µm
net557,671.14µm
_05470_,666.15µm
_09555_,664.07µm
_06089_,664.045µm
net699,663.045µm
_10870_,662.375µm
_11022_,661.025µm
_05147_,656.78µm
dec_block.block_w2_reg\[8\],654.705µm
_07774_,653.73µm
_07272_,651.405µm
_05556_,651.29µm
_07501_,650.59µm
_06628_,648.56µm
_10960_,648.43µm
net576,647.54µm
_02681_,647.225µm
enc_block.block_w0_reg\[15\],643.32µm
_11014_,640.195µm
net601,638.33µm
_05348_,635.43µm
net700,634.275µm
_10875_,633.16µm
_08344_,633.08µm
net694,632.64µm
enc_block.block_w0_reg\[8\],631.56µm
_05218_,629.35µm
enc_block.block_w0_reg\[7\],629.34µm
_10862_,626.56µm
enc_block.block_w0_reg\[10\],626.24µm
_07828_,626.035µm
_10830_,624.5µm
enc_block.block_w0_reg\[2\],621.96µm
enc_block.block_w0_reg\[16\],615.35µm
_10906_,614.66µm
keymem.prev_key1_reg\[9\],612.9µm
net555,611.53µm
_10754_,611.39µm
_05437_,610.96µm
_10951_,605.77µm
net84,604.96µm
_10825_,604.87µm
_07301_,604.72µm
_03740_,602.385µm
net558,601.52µm
_07857_,601.06µm
_10911_,599.72µm
enc_block.block_w1_reg\[10\],597.69µm
_10990_,595.62µm
_08420_,595.41µm
_11148_,593.99µm
_11012_,593.92µm
net559,592.78µm
_09365_,592.68µm
enc_block.block_w0_reg\[13\],592µm
_04308_,589.92µm
net33,586.1µm
net693,585.135µm
_05763_,584.37µm
_05645_,583.87µm
net32,581.8µm
_10965_,581.65µm
_10821_,580.4µm
_10737_,579.08µm
enc_block.block_w0_reg\[11\],577.95µm
net602,577.4µm
enc_block.sword_ctr_reg\[1\],575.99µm
enc_block.block_w2_reg\[15\],573.27µm
enc_block.block_w0_reg\[24\],571.96µm
_05690_,571.585µm
_10925_,571.57µm
_11178_,571.565µm
_10849_,570.2µm
_09437_,569.94µm
_10995_,568.74µm
enc_block.block_w0_reg\[23\],568.47µm
_10974_,566.2µm
_07796_,565.94µm
_11471_,564.41µm
_04441_,564.31µm
_10986_,563.39µm
_10888_,563.21µm
keymem.prev_key1_reg\[10\],562.79µm
_10892_,562.01µm
_07777_,561.34µm
_05505_,560.68µm
keymem.prev_key1_reg\[15\],559.64µm
_10684_,559.06µm
net73,557.48µm
net186,556.58µm
net23,556.14µm
enc_block.block_w0_reg\[9\],556.08µm
_07277_,555.9µm
_10676_,554.74µm
dec_block.block_w2_reg\[13\],551.055µm
net697,550µm
_06170_,549.89µm
_07276_,549.12µm
_10655_,548.56µm
_10804_,548.1µm
_10982_,547.99µm
_10902_,547.81µm
_10798_,546.51µm
_10946_,545.96µm
net101,545.6µm
enc_block.sword_ctr_reg\[0\],545.23µm
enc_block.block_w3_reg\[2\],544.19µm
_10853_,543.76µm
_05722_,540.2µm
net588,539.47µm
_10978_,537.805µm
_10729_,536.11µm
net62,535.75µm
dec_block.block_w2_reg\[9\],535.015µm
net519,534.02µm
net603,533.005µm
_09014_,532.39µm
net20,532.28µm
_10955_,529.98µm
keymem.prev_key1_reg\[31\],529.76µm
enc_block.block_w0_reg\[31\],529.02µm
net553,527.815µm
enc_block.block_w2_reg\[8\],527.58µm
_05590_,525.45µm
_08967_,524.81µm
_10711_,524.46µm
_05065_,523.69µm
_10817_,523.63µm
net95,522.98µm
_03633_,521.33µm
_11456_,520.6µm
_07895_,520.45µm
_04520_,519.93µm
enc_block.block_w0_reg\[3\],519.67µm
_10634_,519.47µm
dec_block.block_w2_reg\[10\],519.46µm
net34,518.82µm
_03110_,518.52µm
net307,518.33µm
net130,517.87µm
_11256_,517.79µm
enc_block.block_w0_reg\[4\],516.98µm
_05620_,516.67µm
_07299_,515.83µm
_05657_,514.94µm
_10762_,513.33µm
net50,512.66µm
keymem.prev_key1_reg\[14\],512.315µm
net49,512.18µm
dec_block.block_w3_reg\[21\],510.48µm
enc_block.block_w2_reg\[10\],509.97µm
_10866_,509.83µm
enc_block.block_w0_reg\[25\],509.76µm
_07807_,508.42µm
net551,508.27µm
_08342_,508.08µm
_10933_,505.13µm
net552,503µm
_09718_,501.395µm
net19,500.28µm
net364,498.64µm
net1,498.56µm
_05580_,498.28µm
net554,497.405µm
net35,495.38µm
_07776_,495.33µm
_05609_,495.29µm
net311,495.22µm
_10767_,493.96µm
_08109_,493.16µm
_08335_,492.42µm
_10897_,492.12µm
net330,492.09µm
_04710_,491.86µm
net208,491.7µm
net106,490.86µm
_10742_,490.31µm
enc_block.block_w3_reg\[5\],489.925µm
_05460_,489.87µm
_08194_,489.19µm
net59,488.18µm
_07371_,487.69µm
_10844_,487.11µm
keymem.prev_key1_reg\[20\],487.1µm
_05482_,487.095µm
enc_block.block_w3_reg\[0\],486.23µm
_03709_,484.96µm
_10858_,483.665µm
_04759_,483.29µm
_10724_,482.78µm
_09711_,482.74µm
_10777_,482.65µm
_10929_,481.7µm
net43,480.78µm
keymem.prev_key1_reg\[27\],480.71µm
enc_block.block_w0_reg\[18\],479.48µm
net31,479.04µm
net121,478.96µm
_03236_,478.8µm
_08211_,478.41µm
_04278_,477.75µm
net21,477.24µm
keymem.prev_key1_reg\[7\],476.37µm
keymem.prev_key1_reg\[28\],476.31µm
_09690_,475.64µm
net42,475.48µm
_02685_,475.355µm
enc_block.block_w1_reg\[9\],475.19µm
_05632_,475.17µm
_10789_,473.69µm
enc_block.block_w0_reg\[20\],473.31µm
net327,473.25µm
net94,473.22µm
_03553_,472.7µm
_10746_,472.44µm
net556,471.59µm
keymem.prev_key1_reg\[30\],471.32µm
net197,470.88µm
_10812_,470.75µm
_02808_,470.625µm
_04795_,470.5µm
_04738_,470.32µm
net40,469.76µm
_02504_,469.75µm
net120,468.76µm
_08334_,468.755µm
_11150_,468.005µm
_05514_,467.86µm
_07930_,467.78µm
clknet_2_3_0_clk,467.6µm
net253,467.32µm
_04700_,467.3µm
net122,466.52µm
_05434_,465.895µm
_09066_,465.28µm
_05568_,464.72µm
_05679_,463.95µm
net48,462.9µm
_07811_,462.61µm
net44,462.3µm
clknet_2_0_0_clk,461.94µm
dec_block.block_w2_reg\[12\],461.885µm
net18,461.66µm
_08209_,461.52µm
_04844_,461.49µm
net51,461.48µm
net619,460.985µm
_10663_,460.12µm
net230,458.7µm
net41,456.72µm
dec_block.block_w2_reg\[11\],456.405µm
_04392_,456.3µm
dec_block.block_w3_reg\[2\],455.52µm
_06851_,455.5µm
net52,455.4µm
_10794_,455.295µm
net119,454.9µm
clknet_2_1_0_clk,454.24µm
_10750_,454µm
net604,453.325µm
enc_block.block_w2_reg\[14\],453.25µm
_10580_,453.17µm
net39,453µm
net343,452.3µm
dec_block.block_w3_reg\[7\],451.455µm
enc_block.block_w1_reg\[15\],451.44µm
_10562_,450.51µm
_09872_,448.77µm
net128,448.44µm
_10808_,447.47µm
enc_block.block_w3_reg\[7\],447.12µm
net620,446.59µm
_10835_,446.28µm
net264,446.26µm
_03373_,445.74µm
_04155_,445.68µm
_05494_,444.95µm
_05524_,444.72µm
_02494_,444.42µm
_06678_,444.19µm
keymem.prev_key1_reg\[13\],443.8µm
enc_block.block_w0_reg\[27\],442.47µm
enc_block.block_w3_reg\[10\],442.19µm
net117,440.94µm
_02552_,440.56µm
_07864_,440µm
net388,439.88µm
_10720_,439.45µm
_04510_,439.27µm
net561,438.21µm
_05301_,437.02µm
_09083_,436.14µm
net92,435.72µm
net319,435.2µm
keymem.prev_key1_reg\[2\],433.9µm
net36,433.76µm
_05869_,433.685µm
net57,433.42µm
_09853_,433.14µm
_08007_,432.73µm
_02764_,432.66µm
net386,432.16µm
net30,432.02µm
_11009_,431.92µm
_09072_,430.92µm
enc_block.block_w0_reg\[22\],430.86µm
_10840_,430.74µm
_07820_,430.72µm
_10585_,430.54µm
_10700_,430.44µm
_10614_,430.36µm
enc_block.block_w0_reg\[30\],429.96µm
net607,429.51µm
keymem.prev_key1_reg\[17\],426.98µm
_06159_,426.64µm
_08014_,426.135µm
_03710_,426.08µm
_03654_,426µm
keymem.prev_key1_reg\[29\],425.88µm
_09717_,425.195µm
net346,424.8µm
enc_block.block_w0_reg\[29\],424.32µm
_09840_,423.765µm
_10705_,423.73µm
net54,423.28µm
_03839_,422.69µm
_08904_,422.53µm
clknet_2_2_0_clk,422.39µm
net430,422.18µm
enc_block.block_w0_reg\[17\],421.78µm
_02585_,421.64µm
net608,420.145µm
_09773_,419.955µm
net623,419.92µm
_08199_,419.77µm
_02810_,419.61µm
net341,419.56µm
_11076_,419.48µm
_07925_,419.325µm
net329,418.74µm
_09065_,418.55µm
net641,418.11µm
_10758_,418.08µm
net538,417.56µm
net624,417.49µm
net628,417.09µm
_08248_,416.975µm
_03746_,416.96µm
net142,416.58µm
net123,416.5µm
net642,416.165µm
enc_block.block_w1_reg\[18\],416.16µm
net93,416.04µm
_07889_,415.73µm
net310,415.04µm
_06377_,414.87µm
net38,414.72µm
_05545_,413.88µm
enc_block.block_w2_reg\[13\],413.88µm
_09769_,413.59µm
_04521_,413.3µm
_08242_,413.3µm
net53,412.96µm
dec_block.block_w2_reg\[2\],412.27µm
net7,411.8µm
net632,411.47µm
net621,410.29µm
_10659_,410.26µm
_05851_,410.2µm
_10772_,409.91µm
_09830_,409.135µm
net37,408.94µm
net629,408.735µm
_09814_,407.78µm
_08246_,407.36µm
_10566_,407.22µm
net89,406.9µm
_04769_,406.46µm
net640,406.24µm
enc_block.block_w2_reg\[9\],406µm
_09137_,405.945µm
enc_block.block_w2_reg\[11\],405.85µm
_07950_,405.58µm
_03773_,404.44µm
_03655_,404.16µm
net78,404.16µm
net125,403.82µm
_07819_,403.76µm
enc_block.block_w0_reg\[12\],403.31µm
_09200_,403.175µm
net286,403.11µm
_03555_,402.79µm
net626,402.36µm
_11585_,401.565µm
net8,401.47µm
_08161_,400.73µm
_11609_,400.13µm
net334,399.58µm
net617,399.5µm
_07998_,398.94µm
net28,397.74µm
_03091_,397.44µm
_04411_,397.1µm
_02910_,396.83µm
_09783_,396.46µm
keymem.prev_key1_reg\[12\],396.02µm
net657,395.74µm
_05227_,395.35µm
