Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_239_1413,VPWR,li1,656.4200,660.9600,1.800000
FILLER_239_1401,VPWR,li1,652.7400,660.9600,1.800000
FILLER_239_1397,VPWR,li1,648.8300,660.9600,1.800000
FILLER_239_1385,VPWR,li1,645.3800,660.9600,1.800000
FILLER_239_1373,VPWR,li1,639.8600,660.9600,1.800000
FILLER_239_1369,VPWR,li1,635.9500,660.9600,1.800000
FILLER_239_1357,VPWR,li1,632.5000,660.9600,1.800000
FILLER_239_1345,VPWR,li1,626.9800,660.9600,1.800000
FILLER_239_1343,VPWR,li1,623.5300,660.9600,1.800000
FILLER_239_1337,VPWR,li1,620.7700,660.9600,1.800000
FILLER_239_1329,VPWR,li1,618.7000,660.9600,1.800000
FILLER_239_1317,VPWR,li1,614.1000,660.9600,1.800000
FILLER_239_1313,VPWR,li1,610.1900,660.9600,1.800000
FILLER_239_1301,VPWR,li1,606.7400,660.9600,1.800000
FILLER_239_1289,VPWR,li1,601.2200,660.9600,1.800000
FILLER_239_1285,VPWR,li1,597.3100,660.9600,1.800000
FILLER_239_1273,VPWR,li1,593.8600,660.9600,1.800000
FILLER_239_1261,VPWR,li1,588.3400,660.9600,1.800000
FILLER_239_1257,VPWR,li1,584.4300,660.9600,1.800000
FILLER_239_1245,VPWR,li1,580.9800,660.9600,1.800000
FILLER_239_1233,VPWR,li1,575.4600,660.9600,1.800000
FILLER_239_1229,VPWR,li1,571.5500,660.9600,1.800000
FILLER_239_1217,VPWR,li1,568.1000,660.9600,1.800000
FILLER_239_1205,VPWR,li1,562.5800,660.9600,1.800000
FILLER_239_1201,VPWR,li1,558.6700,660.9600,1.800000
FILLER_239_1189,VPWR,li1,555.2200,660.9600,1.800000
FILLER_239_1177,VPWR,li1,549.7000,660.9600,1.800000
FILLER_239_1155,VPWR,li1,537.0500,660.9600,1.800000
FILLER_239_1149,VPWR,li1,535.4400,660.9600,1.800000
FILLER_239_1145,VPWR,li1,532.9100,660.9600,1.800000
FILLER_239_1133,VPWR,li1,529.4600,660.9600,1.800000
FILLER_239_1121,VPWR,li1,523.9400,660.9600,1.800000
